
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::                (v4.0.1)

2026-09-21T18:36:02.059Z  INFO 1 --- [           main] o.s.s.p.config.ConfigServerApplication   : Starting ConfigServerApplication v4.0.1 using Java 17.0.20 with PID 1 (/application/BOOT-INF/classes started by root in /application)
2026-09-21T18:36:02.065Z  INFO 1 --- [           main] o.s.s.p.config.ConfigServerApplication   : The following 1 profile is active: "docker"
2026-09-21T18:36:04.276Z  INFO 1 --- [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=6d1c9e9d-ef40-32be-9e63-ab5fef88f9b6
2026-09-21T18:36:05.011Z  INFO 1 --- [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat initialized with port 8888 (http)
2026-09-21T18:36:05.048Z  INFO 1 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2026-09-21T18:36:05.049Z  INFO 1 --- [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/11.0.15]
2026-09-21T18:36:05.164Z  INFO 1 --- [           main] b.w.c.s.WebApplicationContextInitializer : Root WebApplicationContext: initialization completed in 2960 ms
2026-09-21T18:36:05.477Z  INFO 1 --- [           main] o.s.b.w.a.WelcomePageHandlerMapping      : Adding welcome page: class path resource [static/index.html]
2026-09-21T18:36:07.240Z  INFO 1 --- [           main] o.s.boot.tomcat.TomcatWebServer          : Tomcat started on port 8888 (http) with context path '/'
2026-09-21T18:36:07.287Z  INFO 1 --- [           main] o.s.s.p.config.ConfigServerApplication   : Started ConfigServerApplication in 6.524 seconds (process running for 8.7)
2026-09-21T18:36:46.338Z  INFO 1 --- [nio-8888-exec-9] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-10604983012312709102/application.yml]' via location 'file:/tmp/config-repo-10604983012312709102/' (document #0)
2026-09-21T18:36:47.083Z  INFO 1 --- [nio-8888-exec-2] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-10604983012312709102/visits-service.yml]' via location 'file:/tmp/config-repo-10604983012312709102/' (document #0)
2026-09-21T18:36:47.084Z  INFO 1 --- [nio-8888-exec-2] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-10604983012312709102/application.yml]' via location 'file:/tmp/config-repo-10604983012312709102/' (document #0)
2026-09-21T18:36:47.902Z  INFO 1 --- [nio-8888-exec-1] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-10604983012312709102/api-gateway.yml]' via location 'file:/tmp/config-repo-10604983012312709102/' (document #1)
2026-09-21T18:36:47.904Z  INFO 1 --- [nio-8888-exec-1] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-10604983012312709102/api-gateway.yml]' via location 'file:/tmp/config-repo-10604983012312709102/' (document #0)
2026-09-21T18:36:47.905Z  INFO 1 --- [nio-8888-exec-1] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-10604983012312709102/application.yml]' via location 'file:/tmp/config-repo-10604983012312709102/' (document #2)
2026-09-21T18:36:47.905Z  INFO 1 --- [nio-8888-exec-1] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-10604983012312709102/application.yml]' via location 'file:/tmp/config-repo-10604983012312709102/' (document #0)
2026-09-21T18:36:48.726Z  INFO 1 --- [nio-8888-exec-6] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-10604983012312709102/vets-service.yml]' via location 'file:/tmp/config-repo-10604983012312709102/' (document #2)
2026-09-21T18:36:48.726Z  INFO 1 --- [nio-8888-exec-6] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-10604983012312709102/vets-service.yml]' via location 'file:/tmp/config-repo-10604983012312709102/' (document #0)
2026-09-21T18:36:48.727Z  INFO 1 --- [nio-8888-exec-6] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-10604983012312709102/application.yml]' via location 'file:/tmp/config-repo-10604983012312709102/' (document #2)
